model_name,task_name,mean_score,num_samples
oracle-upper-bound,conflict_planning,0.984,250
oracle-upper-bound,habit_override,0.984,250
oracle-upper-bound,rule_shift,1.0,250
pattern-matcher-small,conflict_planning,0.144,250
pattern-matcher-small,habit_override,0.348,250
pattern-matcher-small,rule_shift,0.232,250
planner-large,conflict_planning,0.628,250
planner-large,habit_override,0.684,250
planner-large,rule_shift,0.696,250
rule-aware-medium,conflict_planning,0.38,250
rule-aware-medium,habit_override,0.572,250
rule-aware-medium,rule_shift,0.488,250
